,lat,lon,uni
0,42.514977,-90.681914,Clarke University
1,41.980422,-91.709816,Coe College
2,41.928741,-91.427371,Cornell College
3,41.60103193979816,-93.67286796611839,Drake University
4,41.588743,-93.621175,Grinell College
5,42.514977,-90.681914,Loras College
6,43.322711,-91.793947,Luther College Carlson Stadium
7,41.314309,-93.588041,Simpson College
8,41.588743,-93.621175,University of Iowa School of Social Work
9,42.469768,-92.309475,University of Northern Iowa
10,42.774781,-92.403969,Wartburg College
11,41.408175,-92.917207,Central College Bookstore
12,41.547628,-93.661846,AIB College of Business American Institute of Business
13,41.673017,-93.702792,La'james International College
14,42.524071,-92.449725,Kaplan University - Cedar Falls
15,41.609228,-93.599966,Grand View University
16,42.467057,-96.352755,Western Iowa Tech Community College
17,41.851684,-90.207784,Ashford University
18,42.508817,-94.180737,Iowa Central Community College
19,41.984312,-91.625919,Kirkwood Kids Child Development Center
20,42.514875,-92.326919,Allen College
21,40.832081,-91.179894,Southeastern Community College
22,41.003943,-91.957611,Indian Hills Community College - Jefferson County Center
23,42.464916,-90.682884,Wartburg Theological Seminary
24,41.60103193979816,-93.67286796611839,Drake University Law School
25,41.261584,-95.825083,Buena Vista University
26,41.580512,-93.744711,Des Moines Area Community College
