Clarke University,52001
Coe College,52405
Cornell College,52314
Drake University,50311
Grinell College,50309
Loras College,52001
Luther College Carlson Stadium,52101
Simpson College,50125
University of Iowa School of Social Work,50309
University of Northern Iowa,50614
Wartburg College,50677
Central College Bookstore,50219
AIB College of Business American Institute of Business,50321
La'james International College,50131
Kaplan University - Cedar Falls,50613
Grand View University,50316
Western Iowa Tech Community College,51106
Ashford University,52732
Iowa Central Community College,50501
Kirkwood Kids Child Development Center,52403
Allen College,50703
Southeastern Community College,52655
Indian Hills Community College - Jefferson County Center,52556
Wartburg Theological Seminary,52003
Drake University Law School,50311
Buena Vista University,51503
Des Moines Area Community College,50265
